"EQUIPOS"	"variable"	"value"
"Gualaceo SC"	"J11"	"11"
"Guayaquil City"	"J11"	"12"
"Macará"	"J11"	"13"
"Cumbayá FC"	"J11"	"14"
"Orense SC"	"J11"	"15"
"Técnico Univ."	"J11"	"16"
"Emelec"	"J12"	"1"
"Aucas"	"J12"	"2"
"Independiente del Valle"	"J12"	"3"
"Nueve de Octubre"	"J12"	"4"
"Universidad Católica"	"J12"	"5"
"Delfín SC"	"J12"	"6"
"Deportivo Cuenca"	"J12"	"7"
"LDU Quito"	"J12"	"8"
"Mushuc Runa"	"J12"	"9"
"Barcelona SC"	"J12"	"10"
"Gualaceo SC"	"J12"	"11"
"Guayaquil City"	"J12"	"12"
"Macará"	"J12"	"13"
"Cumbayá FC"	"J12"	"14"
"Orense SC"	"J12"	"15"
"Técnico Univ."	"J12"	"16"
"Emelec"	"J13"	"1"
"Aucas"	"J13"	"2"
"Independiente del Valle"	"J13"	"3"
"Nueve de Octubre"	"J13"	"4"
"Universidad Católica"	"J13"	"5"
"Delfín SC"	"J13"	"6"
"Deportivo Cuenca"	"J13"	"7"
"LDU Quito"	"J13"	"8"
"Mushuc Runa"	"J13"	"9"
"Barcelona SC"	"J13"	"10"
"Gualaceo SC"	"J13"	"11"
"Guayaquil City"	"J13"	"12"
"Macará"	"J13"	"13"
"Cumbayá FC"	"J13"	"14"
"Orense SC"	"J13"	"15"
"Técnico Univ."	"J13"	"16"
"Emelec"	"J14"	"1"
"Aucas"	"J14"	"2"
"Independiente del Valle"	"J14"	"3"
"Nueve de Octubre"	"J14"	"4"
"Universidad Católica"	"J14"	"5"
"Delfín SC"	"J14"	"6"
"Deportivo Cuenca"	"J14"	"7"
"LDU Quito"	"J14"	"8"
"Mushuc Runa"	"J14"	"9"
"Barcelona SC"	"J14"	"10"
"Gualaceo SC"	"J14"	"11"
"Guayaquil City"	"J14"	"12"
"Macará"	"J14"	"13"
"Cumbayá FC"	"J14"	"14"
"Orense SC"	"J14"	"15"
"Técnico Univ."	"J14"	"16"
"Emelec"	"J15"	"1"
"Aucas"	"J15"	"2"
"Independiente del Valle"	"J15"	"3"
"Nueve de Octubre"	"J15"	"4"
"Universidad Católica"	"J15"	"5"
"Delfín SC"	"J15"	"6"
"Deportivo Cuenca"	"J15"	"7"
"LDU Quito"	"J15"	"8"
"Mushuc Runa"	"J15"	"9"
"Barcelona SC"	"J15"	"10"
"Gualaceo SC"	"J15"	"11"
"Guayaquil City"	"J15"	"12"
"Macará"	"J15"	"13"
"Cumbayá FC"	"J15"	"14"
"Orense SC"	"J15"	"15"
"Técnico Univ."	"J15"	"16"
