Date	Time	Home team	Away team	System of play	Coach	Attendance	Result
Sat Mar 26, 2022	6:30 PM	Qatar	Bulgaria	3-4-1-2	Félix Sánchez Bas		2:1
Tue Mar 29, 2022	7:30 PM	Qatar	Slovenia	5-3-2	Félix Sánchez Bas		0:0
Fri Aug 26, 2022	5:00 PM	Qatar	Jamaica	3-5-2 Attacking	Félix Sánchez Bas		1:1
Fri Sep 23, 2022	7:00 PM	Qatar	Canada	5-3-2	Félix Sánchez Bas		0:2
Tue Sep 27, 2022	7:00 PM	Qatar	Chile	3-5-2	Félix Sánchez Bas		2:2
Sun Oct 23, 2022	6:30 PM	Qatar	Guatemala	?	Félix Sánchez Bas		2:0
Wed Nov 9, 2022	6:30 PM	Qatar	Albania	5-3-2	Félix Sánchez Bas		1:0
