Seleccion,p_gol,p_remates,p_rem_arco,p_posesion,p_pases,p_pre_pases,p_faltas,p_tar_ama,p_tar_roj,p_pos_ade,p_tir_esq
Ecuador,1.3333333333333333,10,3.6666666666666665,0.5333333333333333,444,0.8,16.666666666666668,1,0,2.6666666666666665,3.6666666666666665
Senegal,1.6666666666666667,14,3.3333333333333335,0.4633333333333334,384.6666666666667,0.7766666666666667,12,2,0,2.6666666666666665,6
