Seleccion,PromedioEdad,ValorSeleccion,Ranking,PartidosJugados,Victorias,Empates,Derrotas,Goles
Ecuador,25.62,146500000,44,10,2,7,1,6
Qatar,26.96,14925000,50,7,3,3,1,8
