Seleccion	Torneo	Organizador	Ano Torneo	Etapa	Jornada	Fecha	Estadio	Rival	Local	Visita	GSeleccion	GRival	Remates	Remates arco	Posesion	Pases	Precision Pases	Faltas	Tarjetas Amarillas	Tarjetas Rojas	Posicion Adelantada	Tiros Esquina	G1	TG1	G2	TG2	G3	TG3	G4	TG4	G5	TG5	G6	TG6	G7	TG7	G8	TG8
Ecuador	Qatar World Cup	Fifa	2022	Fase de Grupos A	1	20/11	Al Khor	Qatar	No	Si	2	0	6	3	53%	486	84%	15	2	0	4	3	Enner Valencia	16	Enner Valencia	31				
Qatar	Qatar World Cup	Fifa	2022	Fase de Grupos A	1	20/11	Al Khor	Ecuador	Si	No	0	2	5	0	47%	434	80%	15	4	0	3	1
Paises Bajos	Qatar World Cup	Fifa	2022	Fase de Grupos A	1	21/11	Al Thumama	Senegal	No	Si	2	0	10	3	54%	436	81%	13	1	0	1	7	Cody Gakpo	84	Davy Klaassen	90+9				
Senegal	Qatar World Cup	Fifa	2022	Fase de Grupos A	1	21/11	Al Thumama	Paises Bajos	Si	No	0	2	15	4	46%	385	80%	13	2	0	2	6	
