Seleccion,Confederacion,Torneo,Anio,Organizador,Rank,Etapa,Jornada,Fecha,Estadio,Rival,Local,Visita,GSeleccion,GRival,PSeleccion,PRival,Remates,Remates arco,Posesion,Pases,Precision Pases,Faltas,Tarjetas Amarillas,Tarjetas Rojas,Posicion Adelantada,Tiros Esquina,G1,TG1,G2,TG2,G3,TG3,G4,TG4,G5,TG5,G6,TG6,G7,TG7,G8,TG8
Paises Bajos,Uefa,Qatar World Cup,2022,Fifa,8,Cuartos de Final,8,09/12/22,Lusail Stadium,Argentina,Si,No,2,2,3,4,6,2,0.52,634,0.83,30,6,1,1,2,Wout Weghorst,83,Wout Weghorst,101,,,,,,,,,,,,
Argentina,Conmebol,Qatar World Cup,2022,Fifa,3,Cuartos de Final,8,09/12/22,Lusail Stadium,Paises Bajos,No,Si,2,2,4,3,14,5,0.48,602,0.82,18,8,0,2,8,Nahuel Molina,35,Lionel Messi,73,,,,,,,,,,,,
Marruecos,Caf,Qatar World Cup,2022,Fifa,22,Cuartos de Final,8,10/12/22,Al Thumama Stadium,Portugal,Si,No,1,0,,,9,3,0.26,247,0.71,15,1,1,2,3,Youssef En-Nesyri,42,,,,,,,,,,,,,,
Portugal,Uefa,Qatar World Cup,2022,Fifa,9,Cuartos de Final,8,10/12/22,Al Thumama Stadium,Marruecos,No,Si,0,1,,,12,3,0.74,663,0.85,9,1,0,2,9,,,,,,,,,,,,,,,,
Inglaterra,Uefa,Qatar World Cup,2022,Fifa,5,Cuartos de Final,8,10/12/22,Al Bayt Stadium,Francia,Si,No,1,2,,,16,8,0.58,503,0.87,10,1,0,1,5,Harry Kane,54,,,,,,,,,,,,,,
Francia,Uefa,Qatar World Cup,2022,Fifa,4,Cuartos de Final,8,10/12/22,Al Bayt Stadium,Inglaterra,No,Si,2,1,,,8,5,0.42,377,0.81,14,3,0,2,2,Aurelien Tchouameni,17,Olivier Giroud,78,,,,,,,,,,,,
Argentina,Conmebol,Qatar World Cup,2022,Fifa,3,Semifinal,4,13/12/22,Lusail Stadium,Croacia,Si,No,3,0,,,9,7,0.39,399,0.83,15,2,0,1,2,Lionel Messi,34,Julian Alvarez,39,Julian Alvarez,69,,,,,,,,,,
Croacia,Uefa,Qatar World Cup,2022,Fifa,12,Semifinal,4,13/12/22,Lusail Stadium,Argentina,No,Si,0,3,,,12,2,0.61,607,0.87,8,2,0,0,4,,,,,,,,,,,,,,,,
Francia,Uefa,Qatar World Cup,2022,Fifa,4,Semifinal,4,14/12/22,Al Bayt Stadium,Marruecos,Si,No,2,0,,,14,3,0.38,364,0.8,10,0,0,4,2,Theo Hernandez,5,Randal Kolo Muani,79,,,,,,,,,,,,
Marruecos,Caf,Qatar World Cup,2022,Fifa,22,Semifinal,4,14/12/22,Al Bayt Stadium,Francia,No,Si,0,2,,,13,3,0.62,572,0.86,11,1,0,3,3,,,,,,,,,,,,,,,,
Croacia,Uefa,Qatar World Cup,2022,Fifa,12,Sefinal,2,17/12/22,Internacional Jalifa Stadium,Marruecos,Si,No,2,1,,,12,4,0.51,487,0.84,13,0,0,2,6,Josko Gvardiol,7,Mislav Orsin,42,,,,,,,,,,,,
Marruecos,Caf,Qatar World Cup,2022,Fifa,22,Sefinal,2,17/12/22,Internacional Jalifa Stadium,Croacia,No,Si,1,2,,,9,2,0.49,472,0.85,11,2,0,2,3,Achraf Dari,9,,,,,,,,,,,,,,
Argentina,Conmebol,Qatar World Cup,2022,Fifa,3,Final,2,18/12/22,Lusail Stadium,Francia,Si,No,3,3,4,2,20,10,0.54,635,0.82,26,5,0,4,6,Lionel Messi,23,Angel Di Maria,36,Lionel Messi,108,,,,,,,,,,
Francia,Uefa,Qatar World Cup,2022,Fifa,4,Final,2,18/12/22,Lusail Stadium,Argentina,No,Si,3,3,2,4,10,5,0.46,532,0.76,19,3,0,4,5,Kylian Mbappe,80,Kylian Mbappe,81,Kylian Mbappe,118,,,,,,,,,,
