Grupo	Seleccion	Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
C	Arabia Saudita	19	Hattan Bahebri	Hattan Bahebri	Right Winger	30	Al-Shabab Club (Riyadh)	€900k
C	Arabia Saudita	9	Firas Al-Buraikan	Firas Al-Buraikan	Centre-Forward	22	Al-Fateh	€1.80m
C	Arabia Saudita	11	Saleh Al-Shehri	Saleh Al-Shehri	Centre-Forward	29	Al-Hilal Saudi FC	€700k
C	Arabia Saudita	25	Haitham Asiri	Haitham Asiri	Centre-Forward	21	Al-Ahli Saudi FC	€400k
C	Mexico	12	Rodolfo Cota	Rodolfo Cota	Goalkeeper	35	Club León FC	€1.20m
C	Mexico	13	Guillermo Ochoa	Guillermo Ochoa	Goalkeeper	37	CF América	€1.20m
C	Mexico	1	Alfredo Talavera	Alfredo Talavera	Goalkeeper	40	FC Juárez	€800k
C	Mexico	3	César Montes	César Montes	Centre-Back	25	CF Monterrey	€7.00m
C	Mexico	5	Johan Vásquez	Johan Vásquez	Centre-Back	24	US Cremonese	€3.60m
C	Mexico	2	Néstor Araújo	Néstor Araújo	Centre-Back	31	CF América	€3.00m
C	Mexico	15	Héctor Moreno	Héctor Moreno	Centre-Back	34	CF Monterrey	€1.50m
C	Mexico	6	Gerardo Arteaga	Gerardo Arteaga	Left-Back	24	KRC Genk	€5.00m
C	Mexico	23	Jesús Gallardo	Jesús Gallardo	Left-Back	28	CF Monterrey	€3.00m
C	Mexico	19	Jorge Sánchez	Jorge Sánchez	Right-Back	24	Ajax Amsterdam	€6.00m
C	Mexico	26	Kevin Álvarez	Kevin Álvarez	Right-Back	23	CF Pachuca	€6.00m
C	Mexico	4	Edson Álvarez	Edson Álvarez	Defensive Midfield	25	Ajax Amsterdam	€35.00m
C	Mexico	24	Luis Chávez	Luis Chávez	Defensive Midfield	26	CF Pachuca	€6.50m
C	Mexico	8	Carlos Rodríguez	Carlos Rodríguez	Central Midfield	25	CD Cruz Azul	€8.00m
C	Mexico	14	Érick Gutiérrez	Érick Gutiérrez	Central Midfield	27	PSV Eindhoven	€7.00m
C	Mexico	7	Luis Romo	Luis Romo	Central Midfield	27	CF Monterrey	€6.50m
C	Mexico	17	Orbelín Pineda	Orbelín Pineda	Central Midfield	26	AEK Athens	€4.00m
C	Mexico	16	Héctor Herrera	Héctor Herrera	Central Midfield	32	Houston Dynamo FC	€2.80m
C	Mexico	18	Andrés Guardado	Andrés Guardado	Central Midfield	36	Real Betis Balompié	€1.50m
C	Mexico	10	Alexis Vega	Alexis Vega	Left Winger	24	Deportivo Guadalajara	€8.00m
C	Mexico	22	Hirving Lozano	Hirving Lozano	Right Winger	27	SSC Napoli	€28.00m
C	Mexico	25	Roberto Alvarado	Roberto Alvarado	Right Winger	24	Deportivo Guadalajara	€5.00m
C	Mexico	21	Uriel Antuna	Uriel Antuna	Right Winger	25	CD Cruz Azul	€4.00m
C	Mexico	9	Raúl Jiménez	Raúl Jiménez	Centre-Forward	31	Wolverhampton Wanderers	€12.00m
C	Mexico	20	Henry Martín	Henry Martín	Centre-Forward	30	CF América	€6.00m
C	Mexico	11	Rogelio Funes Mori	Rogelio Funes Mori	Centre-Forward	31	CF Monterrey	€3.50m
C	Polonia	1	Wojciech Szczesny	Wojciech Szczesny	Goalkeeper	32	Juventus FC	€13.00m
C	Polonia	22	Kamil Grabara	Kamil Grabara	Goalkeeper	23	FC Copenhagen	€5.00m
C	Polonia	12	Lukasz Skorupski	Lukasz Skorupski	Goalkeeper	31	Bologna FC 1909	€3.00m
C	Polonia	5	Jan Bednarek	Jan Bednarek	Centre-Back	26	Aston Villa	€18.00m
C	Polonia	14	Jakub Kiwior	Jakub Kiwior	Centre-Back	22	Spezia Calcio	€6.00m
C	Polonia	4	Mateusz Wieteska	Mateusz Wieteska	Centre-Back	25	Clermont Foot 63	€3.00m
C	Polonia	15	Kamil Glik	Kamil Glik	Centre-Back	34	Benevento Calcio	€800k
C	Polonia	3	Artur Jedrzejczyk	Artur Jedrzejczyk	Centre-Back	35	Legia Warszawa	€300k
C	Polonia	2	Matty Cash	Matty Cash	Right-Back	25	Aston Villa	€22.00m
C	Polonia	25	Robert Gumny	Robert Gumny	Right-Back	24	FC Augsburg	€3.50m
C	Polonia	18	Bartosz Bereszynski	Bartosz Bereszynski	Right-Back	30	UC Sampdoria	€3.00m
C	Polonia	10	Grzegorz Krychowiak	Grzegorz Krychowiak	Defensive Midfield	32	Al-Shabab Club (Riyadh)	€6.00m
C	Polonia	6	Krystian Bielik	Krystian Bielik	Defensive Midfield	24	Birmingham City	€3.00m
C	Polonia	17	Szymon Zurkowski	Szymon Zurkowski	Central Midfield	25	ACF Fiorentina	€5.80m
C	Polonia	8	Damian Szymanski	Damian Szymanski	Central Midfield	27	AEK Athens	€2.00m
C	Polonia	24	Przemyslaw Frankowski	Przemyslaw Frankowski	Right Midfield	27	RC Lens	€7.00m
C	Polonia	21	Nicola Zalewski	Nicola Zalewski	Left Midfield	20	AS Roma	€15.00m
C	Polonia	20	Piotr Zielinski	Piotr Zielinski	Attacking Midfield	28	SSC Napoli	€40.00m
C	Polonia	19	Sebastian Szymanski	Sebastian Szymanski	Attacking Midfield	23	Feyenoord Rotterdam	€14.00m
C	Polonia	13	Jakub Kaminski	Jakub Kaminski	Left Winger	20	VfL Wolfsburg	€10.00m
C	Polonia	11	Kamil Grosicki	Kamil Grosicki	Left Winger	34	Pogon Szczecin	€700k
C	Polonia	26	Michal Skoras	Michal Skoras	Right Winger	22	Lech Poznan	€3.50m
C	Polonia	9	Robert Lewandowski	Robert Lewandowski	Centre-Forward	34	FC Barcelona	€45.00m
C	Polonia	23	Krzysztof Piatek	Krzysztof Piatek	Centre-Forward	27	US Salernitana 1919	€11.00m
C	Polonia	7	Arkadiusz Milik	Arkadiusz Milik	Centre-Forward	28	Juventus FC	€10.00m
C	Polonia	16	Karol Swiderski	Karol Swiderski	Centre-Forward	25	Charlotte FC	€5.00m
D	France	23	Alphonse Areola	Alphonse Areola	Goalkeeper	29	West Ham United	€8.00m
D	France	16	Steve Mandanda	Steve Mandanda	Goalkeeper	37	Stade Rennais FC	€1.50m
D	France	17	William Saliba	William Saliba	Centre-Back	21	Arsenal FC	€50.00m
D	France	21	Lucas Hernández	Lucas Hernández	Centre-Back	26	Bayern Munich	€50.00m
D	France	24	Ibrahima Konaté	Ibrahima Konaté	Centre-Back	23	Liverpool FC	€35.00m
D	France	22	Theo Hernández	Theo Hernández	Left-Back	25	AC Milan	€55.00m
D	France	8	Aurélien Tchouameni	Aurélien Tchouameni	Defensive Midfield	22	Real Madrid	€80.00m
D	France	6	Mattéo Guendouzi	Mattéo Guendouzi	Central Midfield	23	Olympique Marseille	€25.00m
D	France	14	Adrien Rabiot	Adrien Rabiot	Central Midfield	27	Juventus FC	€18.00m
D	France	11	Ousmane Dembélé	Ousmane Dembélé	Right Winger	25	FC Barcelona	€60.00m
D	France	7	Antoine Griezmann	Antoine Griezmann	Second Striker	31	Atlético de Madrid	€25.00m
D	France	19	Karim Benzema	Karim Benzema	Centre-Forward	34	Real Madrid	€35.00m
D	France	26	Marcus Thuram	Marcus Thuram	Centre-Forward	25	Borussia Mönchengladbach	€30.00m
D	France	23	Alphonse Areola	Alphonse Areola	Goalkeeper	29	West Ham United	€8.00m
D	France	1	Hugo Lloris	Hugo Lloris	Goalkeeper	35	Tottenham Hotspur	€7.00m
D	France	5	Jules Koundé	Jules Koundé	Centre-Back	24	FC Barcelona	€60.00m
D	France	18	Dayot Upamecano	Dayot Upamecano	Centre-Back	24	Bayern Munich	€50.00m
D	France	4	Raphaël Varane	Raphaël Varane	Centre-Back	29	Manchester United	€40.00m
D	France	3	Axel Disasi	Axel Disasi	Centre-Back	24	AS Monaco	€25.00m
D	France	2	Benjamin Pavard	Benjamin Pavard	Right-Back	26	Bayern Munich	€35.00m
D	France	25	Eduardo Camavinga	Eduardo Camavinga	Central Midfield	20	Real Madrid	€50.00m
D	France	13	Youssouf Fofana	Youssouf Fofana	Central Midfield	23	AS Monaco	€25.00m
D	France	15	Jordan Veretout	Jordan Veretout	Central Midfield	29	Olympique Marseille	€14.00m
D	France	20	Kingsley Coman	Kingsley Coman	Right Winger	26	Bayern Munich	€60.00m
D	France	10	Kylian Mbappé	Kylian Mbappé	Centre-Forward	23	Paris Saint-Germain	€160.00m
D	France	12	Randal Kolo Muani	Randal Kolo Muani	Centre-Forward	23	Eintracht Frankfurt	€30.00m
D	France	9	Olivier Giroud	Olivier Giroud	Centre-Forward	36	AC Milan	€4.00m
D	Australia	1	Mathew Ryan	Mathew Ryan	Goalkeeper	30	FC Copenhagen	€5.00m
D	Australia	18	Danny Vukovic	Danny Vukovic	Goalkeeper	37	Central Coast Mariners	€150k
D	Australia	2	Milos Degenek	Milos Degenek	Centre-Back	28	Columbus Crew	€2.00m
D	Australia	4	Kye Rowles	Kye Rowles	Centre-Back	24	Heart of Midlothian FC	€600k
D	Australia	16	Aziz Behich	Aziz Behich	Left-Back	31	Dundee United FC	€700k
D	Australia	5	Fran Karacic	Fran Karacic	Right-Back	26	Brescia Calcio	€1.20m
D	Australia	17	Cammy Devlin	Cammy Devlin	Defensive Midfield	24	Heart of Midlothian FC	€700k
D	Australia	13	Aaron Mooy	Aaron Mooy	Central Midfield	32	Celtic FC	€4.00m
D	Australia	22	Jackson Irvine	Jackson Irvine	Central Midfield	29	FC St. Pauli	€2.00m
D	Australia	11	Awer Mabil	Awer Mabil	Left Winger	27	Cádiz CF	€1.50m
D	Australia	7	Mathew Leckie	Mathew Leckie	Left Winger	31	Melbourne City FC	€800k
D	Australia	9	Jamie Maclaren	Jamie Maclaren	Centre-Forward	29	Melbourne City FC	€1.80m
D	Australia	15	Mitchell Duke	Mitchell Duke	Centre-Forward	31	Fagiano Okayama	€800k
D	Australia	1	Mathew Ryan	Mathew Ryan	Goalkeeper	30	FC Copenhagen	€5.00m
D	Australia	12	Andrew Redmayne	Andrew Redmayne	Goalkeeper	33	Sydney FC	€500k
D	Australia	19	Harry Souttar	Harry Souttar	Centre-Back	24	Stoke City	€4.50m
D	Australia	8	Bailey Wright	Bailey Wright	Centre-Back	30	Sunderland AFC	€700k
D	Australia	20	Thomas Deng	Thomas Deng	Centre-Back	25	Albirex Niigata	€600k
D	Australia	24	Joel King	Joel King	Left-Back	22	Odense Boldklub	€500k
D	Australia	3	Nathaniel Atkinson	Nathaniel Atkinson	Right-Back	23	Heart of Midlothian FC	€1.00m
D	Australia	26	Keanu Baccus	Keanu Baccus	Defensive Midfield	24	St. Mirren FC	€650k
D	Australia	14	Riley McGree	Riley McGree	Central Midfield	24	Middlesbrough FC	€2.00m
D	Australia	10	Ajdin Hrustic	Ajdin Hrustic	Attacking Midfield	26	Hellas Verona	€1.80m
D	Australia	23	Craig Goodwin	Craig Goodwin	Left Winger	30	Adelaide United	€1.20m
D	Australia	6	Martin Boyle	Martin Boyle	Right Winger	29	Hibernian FC	€2.00m
D	Australia	25	Jason Cummings	Jason Cummings	Centre-Forward	27	Central Coast Mariners	€900k
D	Australia	21	Garang Kuol	Garang Kuol	Centre-Forward	18	Central Coast Mariners	€800k
D	Denmark	16	Oliver Christensen	Oliver Christensen	Goalkeeper	23	Hertha BSC	€4.50m
D	Denmark	1	Kasper Schmeichel	Kasper Schmeichel	Goalkeeper	36	OGC Nice	€2.50m
D	Denmark	6	Andreas Christensen	Andreas Christensen	Centre-Back	26	FC Barcelona	€30.00m
D	Denmark	4	Simon Kjaer	Simon Kjaer	Centre-Back	33	AC Milan	€5.00m
D	Denmark	13	Rasmus Kristensen	Rasmus Kristensen	Right-Back	25	Leeds United	€15.00m
D	Denmark	17	Jens Stryger Larsen	Jens Stryger Larsen	Right-Back	31	Trabzonspor	€2.00m
D	Denmark	23	Pierre-Emile Höjbjerg	Pierre-Emile Höjbjerg	Central Midfield	27	Tottenham Hotspur	€45.00m
D	Denmark	8	Thomas Delaney	Thomas Delaney	Central Midfield	31	Sevilla FC	€3.00m
D	Denmark	11	Andreas Skov Olsen	Andreas Skov Olsen	Right Midfield	22	Club Brugge KV	€20.00m
D	Denmark	10	Christian Eriksen	Christian Eriksen	Attacking Midfield	30	Manchester United	€25.00m
D	Denmark	24	Robert Skov	Robert Skov	Right Winger	26	TSG 1899 Hoffenheim	€9.00m
D	Denmark	12	Kasper Dolberg	Kasper Dolberg	Centre-Forward	25	Sevilla FC	€12.00m
D	Denmark	21	Andreas Cornelius	Andreas Cornelius	Centre-Forward	29	FC Copenhagen	€6.00m
D	Denmark	16	Oliver Christensen	Oliver Christensen	Goalkeeper	23	Hertha BSC	€4.50m
D	Denmark	22	Frederik Rönnow	Frederik Rönnow	Goalkeeper	30	1.FC Union Berlin	€3.50m
D	Denmark	2	Joachim Andersen	Joachim Andersen	Centre-Back	26	Crystal Palace	€32.00m
D	Denmark	3	Victor Nelsson	Victor Nelsson	Centre-Back	24	Galatasaray	€14.00m
D	Denmark	5	Joakim Maehle	Joakim Maehle	Left-Back	25	Atalanta BC	€14.00m
D	Denmark	26	Alexander Bah	Alexander Bah	Right-Back	24	SL Benfica	€8.00m
D	Denmark	15	Christian Nörgaard	Christian Nörgaard	Defensive Midfield	28	Brentford FC	€14.00m
D	Denmark	7	Mathias Jensen	Mathias Jensen	Central Midfield	26	Brentford FC	€14.00m
D	Denmark	18	Daniel Wass	Daniel Wass	Central Midfield	33	Bröndby IF	€2.50m
D	Denmark	25	Jesper Lindström	Jesper Lindström	Attacking Midfield	22	Eintracht Frankfurt	€28.00m
D	Denmark	14	Mikkel Damsgaard	Mikkel Damsgaard	Left Winger	22	Brentford FC	€15.00m
D	Denmark	19	Jonas Wind	Jonas Wind	Centre-Forward	23	VfL Wolfsburg	€14.00m
D	Denmark	20	Yussuf Poulsen	Yussuf Poulsen	Centre-Forward	28	RB Leipzig	€10.00m
D	Denmark	9	Martin Braithwaite	Martin Braithwaite	Centre-Forward	31	RCD Espanyol Barcelona	€5.00m
D	Tunisia	16	Aymen Dahmen	Aymen Dahmen	Goalkeeper	25	Club Sportif Sfaxien	€950k
D	Tunisia	26	Mouez Hassen	Mouez Hassen	Goalkeeper	27	Club Africain Tunis	€450k
D	Tunisia	3	Montassar Talbi	Montassar Talbi	Centre-Back	24	FC Lorient	€4.00m
D	Tunisia	4	Yassine Meriah	Yassine Meriah	Centre-Back	29	Esperance Tunis	€2.00m
D	Tunisia	2	Bilel Ifa	Bilel Ifa	Centre-Back	32	Kuwait SC	€350k
D	Tunisia	24	Ali Abdi	Ali Abdi	Left-Back	28	SM Caen	€1.50m
D	Tunisia	21	Wajdi Kechrida	Wajdi Kechrida	Right-Back	27	Atromitos Athen	€800k
D	Tunisia	14	Aïssa Laïdouni	Aïssa Laïdouni	Central Midfield	25	Ferencvárosi TC	€4.00m
D	Tunisia	15	Mohamed Ali Ben Romdhane	Mohamed Ali Ben Romdhane	Central Midfield	23	Esperance Tunis	€2.70m
D	Tunisia	18	Ghaylen Chaaleli	Ghaylen Chaaleli	Central Midfield	28	Esperance Tunis	€1.20m
D	Tunisia	23	Naïm Sliti	Naïm Sliti	Left Winger	30	Ettifaq FC	€6.00m
D	Tunisia	9	Issam Jebali	Issam Jebali	Second Striker	30	Odense Boldklub	€500k
D	Tunisia	19	Seifeddine Jaziri	Seifeddine Jaziri	Centre-Forward	29	Zamalek SC	€1.50m
D	Tunisia	16	Aymen Dahmen	Aymen Dahmen	Goalkeeper	25	Club Sportif Sfaxien	€950k
D	Tunisia	22	Bechir Ben Said	Bechir Ben Said	Goalkeeper	27	US Monastir	€900k
D	Tunisia	1	Aymen Balbouli	Aymen Balbouli	Goalkeeper	38	Etoile Sportive du Sahel	€50k
D	Tunisia	6	Dylan Bronn	Dylan Bronn	Centre-Back	27	US Salernitana 1919	€3.00m
D	Tunisia	5	Nader Ghandri	Nader Ghandri	Centre-Back	27	Club Africain Tunis	€650k
D	Tunisia	12	Ali Maâloul	Ali Maâloul	Left-Back	32	El Ahly Cairo	€1.50m
D	Tunisia	20	Mohamed Dräger	Mohamed Dräger	Right-Back	26	FC Luzern	€1.30m
D	Tunisia	17	Ellyes Skhiri	Ellyes Skhiri	Defensive Midfield	27	1. FC Köln	€13.00m
D	Tunisia	25	Anis Slimane	Anis Slimane	Central Midfield	21	Bröndby IF	€3.50m
D	Tunisia	13	Ferjani Sassi	Ferjani Sassi	Central Midfield	30	Al-Duhail SC	€1.75m
D	Tunisia	8	Hannibal Mejbri	Hannibal Mejbri	Attacking Midfield	19	Birmingham City	€6.00m
D	Tunisia	7	Youssef Msakni	Youssef Msakni	Left Winger	32	Al-Arabi SC	€1.20m
D	Tunisia	10	Wahbi Khazri	Wahbi Khazri	Centre-Forward	31	Montpellier HSC	€3.00m
D	Tunisia	11	Taha Yassine Khenissi	Taha Yassine Khenissi	Centre-Forward	30	Kuwait SC	€600k
E	Germany	22	Marc-André ter Stegen	Marc-André ter Stegen	Goalkeeper	30	FC Barcelona	€30.00m
E	Germany	12	Kevin Trapp	Kevin Trapp	Goalkeeper	32	Eintracht Frankfurt	€8.50m
E	Germany	15	Niklas Süle	Niklas Süle	Centre-Back	27	Borussia Dortmund	€35.00m
E	Germany	5	Thilo Kehrer	Thilo Kehrer	Centre-Back	26	West Ham United	€22.00m
E	Germany	25	Armel Bella-Kotchap	Armel Bella-Kotchap	Centre-Back	20	Southampton FC	€18.00m
E	Germany	3	David Raum	David Raum	Left-Back	24	RB Leipzig	€26.00m
E	Germany	6	Joshua Kimmich	Joshua Kimmich	Defensive Midfield	27	Bayern Munich	€80.00m
E	Germany	21	Ilkay Gündogan	Ilkay Gündogan	Central Midfield	32	Manchester City	€25.00m
E	Germany	7	Kai Havertz	Kai Havertz	Attacking Midfield	23	Chelsea FC	€70.00m
E	Germany	11	Mario Götze	Mario Götze	Attacking Midfield	30	Eintracht Frankfurt	€13.00m
E	Germany	10	Serge Gnabry	Serge Gnabry	Right Winger	27	Bayern Munich	€65.00m
E	Germany	18	Jonas Hofmann	Jonas Hofmann	Right Winger	30	Borussia Mönchengladbach	€13.00m
E	Germany	26	Youssoufa Moukoko	Youssoufa Moukoko	Centre-Forward	17	Borussia Dortmund	€30.00m
E	Germany	22	Marc-André ter Stegen	Marc-André ter Stegen	Goalkeeper	30	FC Barcelona	€30.00m
E	Germany	1	Manuel Neuer	Manuel Neuer	Goalkeeper	36	Bayern Munich	€12.00m
E	Germany	2	Antonio Rüdiger	Antonio Rüdiger	Centre-Back	29	Real Madrid	€40.00m
E	Germany	23	Nico Schlotterbeck	Nico Schlotterbeck	Centre-Back	22	Borussia Dortmund	€33.00m
E	Germany	4	Matthias Ginter	Matthias Ginter	Centre-Back	28	SC Freiburg	€20.00m
E	Germany	16	Lukas Klostermann	Lukas Klostermann	Centre-Back	26	RB Leipzig	€14.00m
E	Germany	20	Christian Günter	Christian Günter	Left-Back	29	SC Freiburg	€10.00m
E	Germany	8	Leon Goretzka	Leon Goretzka	Central Midfield	27	Bayern Munich	€65.00m
E	Germany	14	Jamal Musiala	Jamal Musiala	Attacking Midfield	19	Bayern Munich	€100.00m
E	Germany	17	Julian Brandt	Julian Brandt	Attacking Midfield	26	Borussia Dortmund	€28.00m
E	Germany	19	Leroy Sané	Leroy Sané	Left Winger	26	Bayern Munich	€70.00m
E	Germany	24	Karim Adeyemi	Karim Adeyemi	Right Winger	20	Borussia Dortmund	€35.00m
E	Germany	13	Thomas Müller	Thomas Müller	Second Striker	33	Bayern Munich	€18.00m
E	Germany	9	Niclas Füllkrug	Niclas Füllkrug	Centre-Forward	29	SV Werder Bremen	€5.00m
E	Spain	1	Robert Sánchez	Robert Sánchez	Goalkeeper	25	Brighton &amp; Hove Albion	€32.00m
E	Spain	13	David Raya	David Raya	Goalkeeper	27	Brentford FC	€22.00m
E	Spain	24	Aymeric Laporte	Aymeric Laporte	Centre-Back	28	Manchester City	€38.00m
E	Spain	14	Alejandro Balde	Alejandro Balde	Left-Back	19	FC Barcelona	€15.00m
E	Spain	20	Daniel Carvajal	Daniel Carvajal	Right-Back	30	Real Madrid	€18.00m
E	Spain	16	Rodri	Rodri	Defensive Midfield	26	Manchester City	€80.00m
E	Spain	5	Sergio Busquets	Sergio Busquets	Defensive Midfield	34	FC Barcelona	€5.00m
E	Spain	9	Gavi	Gavi	Central Midfield	18	FC Barcelona	€90.00m
E	Spain	19	Carlos Soler	Carlos Soler	Central Midfield	25	Paris Saint-Germain	€35.00m
E	Spain	21	Dani Olmo	Dani Olmo	Attacking Midfield	24	RB Leipzig	€40.00m
E	Spain	11	Ferran Torres	Ferran Torres	Left Winger	22	FC Barcelona	€35.00m
E	Spain	10	Marco Asensio	Marco Asensio	Right Winger	26	Real Madrid	€25.00m
E	Spain	22	Pablo Sarabia	Pablo Sarabia	Right Winger	30	Paris Saint-Germain	€20.00m
E	Spain	1	Robert Sánchez	Robert Sánchez	Goalkeeper	25	Brighton &amp; Hove Albion	€32.00m
E	Spain	23	Unai Simón	Unai Simón	Goalkeeper	25	Athletic Bilbao	€25.00m
E	Spain	4	Pau Torres	Pau Torres	Centre-Back	25	Villarreal CF	€50.00m
E	Spain	3	Eric García	Eric García	Centre-Back	21	FC Barcelona	€18.00m
E	Spain	18	Jordi Alba	Jordi Alba	Left-Back	33	FC Barcelona	€5.00m
E	Spain	2	César Azpilicueta	César Azpilicueta	Right-Back	33	Chelsea FC	€8.00m
E	Spain	15	Hugo Guillamón	Hugo Guillamón	Defensive Midfield	22	Valencia CF	€25.00m
E	Spain	26	Pedri	Pedri	Central Midfield	19	FC Barcelona	€100.00m
E	Spain	6	Marcos Llorente	Marcos Llorente	Central Midfield	27	Atlético de Madrid	€35.00m
E	Spain	8	Koke	Koke	Central Midfield	30	Atlético de Madrid	€18.00m
E	Spain	25	Ansu Fati	Ansu Fati	Left Winger	20	FC Barcelona	€50.00m
E	Spain	17	Yéremy Pino	Yéremy Pino	Right Winger	20	Villarreal CF	€38.00m
E	Spain	12	Nico Williams	Nico Williams	Right Winger	20	Athletic Bilbao	€25.00m
E	Spain	7	Álvaro Morata	Álvaro Morata	Centre-Forward	30	Atlético de Madrid	€25.00m
E	Japan	23	Daniel Schmidt	Daniel Schmidt	Goalkeeper	30	Sint-Truidense VV	€1.50m
E	Japan	1	Eiji Kawashima	Eiji Kawashima	Goalkeeper	39	RC Strasbourg Alsace	€200k
E	Japan	26	Hiroki Ito	Hiroki Ito	Centre-Back	23	VfB Stuttgart	€5.50m
E	Japan	22	Maya Yoshida	Maya Yoshida	Centre-Back	34	FC Schalke 04	€1.50m
E	Japan	16	Takehiro Tomiyasu	Takehiro Tomiyasu	Right-Back	24	Arsenal FC	€25.00m
E	Japan	19	Hiroki Sakai	Hiroki Sakai	Right-Back	32	Urawa Red Diamonds	€1.70m
E	Japan	6	Wataru Endo	Wataru Endo	Defensive Midfield	29	VfB Stuttgart	€6.50m
E	Japan	7	Gaku Shibasaki	Gaku Shibasaki	Central Midfield	30	CD Leganés	€1.00m
E	Japan	10	Takumi Minamino	Takumi Minamino	Left Winger	27	AS Monaco	€10.00m
E	Japan	25	Daizen Maeda	Daizen Maeda	Left Winger	25	Celtic FC	€4.00m
E	Japan	8	Ritsu Doan	Ritsu Doan	Right Winger	24	SC Freiburg	€12.00m
E	Japan	14	Junya Ito	Junya Ito	Right Winger	29	Stade Reims	€9.00m
E	Japan	21	Ayase Ueda	Ayase Ueda	Centre-Forward	24	Cercle Brugge	€2.00m
E	Japan	23	Daniel Schmidt	Daniel Schmidt	Goalkeeper	30	Sint-Truidense VV	€1.50m
E	Japan	12	Shuichi Gonda	Shuichi Gonda	Goalkeeper	33	Shimizu S-Pulse	€500k
E	Japan	4	Ko Itakura	Ko Itakura	Centre-Back	25	Borussia Mönchengladbach	€7.50m
E	Japan	3	Shogo Taniguchi	Shogo Taniguchi	Centre-Back	31	Kawasaki Frontale	€1.80m
E	Japan	5	Yuto Nagatomo	Yuto Nagatomo	Left-Back	36	FC Tokyo	€400k
E	Japan	2	Miki Yamane	Miki Yamane	Right-Back	28	Kawasaki Frontale	€1.70m
E	Japan	13	Hidemasa Morita	Hidemasa Morita	Defensive Midfield	27	Sporting CP	€7.00m
E	Japan	17	Ao Tanaka	Ao Tanaka	Central Midfield	24	Fortuna Düsseldorf	€1.80m
E	Japan	15	Daichi Kamada	Daichi Kamada	Attacking Midfield	26	Eintracht Frankfurt	€30.00m
E	Japan	9	Kaoru Mitoma	Kaoru Mitoma	Left Winger	25	Brighton &amp; Hove Albion	€6.00m
E	Japan	24	Yuki Soma	Yuki Soma	Left Winger	25	Nagoya Grampus	€1.20m
E	Japan	11	Takefusa Kubo	Takefusa Kubo	Right Winger	21	Real Sociedad	€12.00m
E	Japan	18	Takuma Asano	Takuma Asano	Right Winger	28	VfL Bochum	€3.00m
E	Japan	20	Shuto Machino	Shuto Machino	Centre-Forward	23	Shonan Bellmare	€1.20m
E	Costa Rica	1	Keylor Navas	Keylor Navas	Goalkeeper	35	Paris Saint-Germain	€5.00m
E	Costa Rica	23	Patrick Sequeira	Patrick Sequeira	Goalkeeper	23	CD Lugo	€200k
E	Costa Rica	15	Francisco Calvo	Francisco Calvo	Centre-Back	30	Konyaspor	€1.70m
E	Costa Rica	19	Kendall Waston	Kendall Waston	Centre-Back	34	Deportivo Saprissa	€175k
E	Costa Rica	8	Bryan Oviedo	Bryan Oviedo	Left-Back	32	Real Salt Lake City	€200k
E	Costa Rica	4	Keysher Fuller	Keysher Fuller	Right-Back	28	CS Herediano	€250k
E	Costa Rica	17	Yeltsin Tejeda	Yeltsin Tejeda	Defensive Midfield	30	CS Herediano	€275k
E	Costa Rica	14	Youstin Salas	Youstin Salas	Defensive Midfield	26	Deportivo Saprissa	€250k
E	Costa Rica	5	Celso Borges	Celso Borges	Central Midfield	34	LD Alajuelense	€200k
E	Costa Rica	26	Álvaro Zamora	Álvaro Zamora	Left Midfield	20	Deportivo Saprissa	€200k
E	Costa Rica	10	Bryan Ruiz	Bryan Ruiz	Attacking Midfield	37	LD Alajuelense	€150k
E	Costa Rica	12	Joel Campbell	Joel Campbell	Right Winger	30	Club León FC	€2.50m
E	Costa Rica	7	Anthony Contreras	Anthony Contreras	Centre-Forward	22	CS Herediano	€375k
E	Costa Rica	1	Keylor Navas	Keylor Navas	Goalkeeper	35	Paris Saint-Germain	€5.00m
E	Costa Rica	18	Esteban Alvarado	Esteban Alvarado	Goalkeeper	33	CS Herediano	€225k
E	Costa Rica	3	Juan Pablo Vargas	Juan Pablo Vargas	Centre-Back	27	Millonarios FC	€1.70m
E	Costa Rica	6	Óscar Duarte	Óscar Duarte	Centre-Back	33	Al-Wehda FC	€600k
E	Costa Rica	22	Ronald Matarrita	Ronald Matarrita	Left-Back	28	FC Cincinnati	€1.50m
E	Costa Rica	16	Carlos Martínez	Carlos Martínez	Right-Back	23	AD San Carlos	€275k
E	Costa Rica	2	Daniel Chacón	Daniel Chacón	Defensive Midfield	21	Colorado Rapids 2	€300k
E	Costa Rica	21	Douglas López	Douglas López	Defensive Midfield	24	CS Herediano	€275k
E	Costa Rica	24	Roan Wilson	Roan Wilson	Central Midfield	20	Municipal Grecia	€250k
E	Costa Rica	13	Gerson Torres	Gerson Torres	Right Midfield	25	CS Herediano	€325k
E	Costa Rica	20	Brandon Aguilera	Brandon Aguilera	Attacking Midfield	19	AD Guanacasteca	€275k
E	Costa Rica	9	Jewison Bennette	Jewison Bennette	Left Winger	18	Sunderland AFC	€1.00m
E	Costa Rica	25	Anthony Hernández	Anthony Hernández	Right Winger	21	Puntarenas FC	€250k
E	Costa Rica	11	Johan Venegas	Johan Venegas	Centre-Forward	33	LD Alajuelense	€300k
F	Belgium	1	Thibaut Courtois	Thibaut Courtois	Goalkeeper	30	Real Madrid	€60.00m
