Grupo	Seleccion	Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
A	Paises Bajos	5	Nathan Aké	Nathan Aké	Centre-Back	27	Manchester City	€30.00m
A	Paises Bajos	6	Stefan de Vrij	Stefan de Vrij	Centre-Back	30	Inter Milan	€15.00m
A	Paises Bajos	16	Tyrell Malacia	Tyrell Malacia	Left-Back	23	Manchester United	€22.00m
A	Paises Bajos	17	Daley Blind	Daley Blind	Left-Back	32	Ajax Amsterdam	€6.00m
A	Paises Bajos	26	Jeremie Frimpong	Jeremie Frimpong	Right-Back	21	Bayer 04 Leverkusen	€25.00m
A	Paises Bajos	20	Teun Koopmeiners	Teun Koopmeiners	Defensive Midfield	24	Atalanta BC	€30.00m
A	Paises Bajos	15	Marten de Roon	Marten de Roon	Defensive Midfield	31	Atalanta BC	€12.00m
A	Paises Bajos	21	Frenkie de Jong	Frenkie de Jong	Central Midfield	25	FC Barcelona	€50.00m
A	Paises Bajos	24	Kenneth Taylor	Kenneth Taylor	Central Midfield	20	Ajax Amsterdam	€14.00m
A	Paises Bajos	22	Denzel Dumfries	Denzel Dumfries	Right Midfield	26	Inter Milan	€28.00m
A	Paises Bajos	25	Xavi Simons	Xavi Simons	Attacking Midfield	19	PSV Eindhoven	€18.00m
A	Paises Bajos	11	Steven Berghuis	Steven Berghuis	Attacking Midfield	30	Ajax Amsterdam	€14.00m
A	Paises Bajos	14	Davy Klaassen	Davy Klaassen	Attacking Midfield	29	Ajax Amsterdam	€12.00m
A	Paises Bajos	8	Cody Gakpo	Cody Gakpo	Left Winger	23	PSV Eindhoven	€45.00m
A	Paises Bajos	7	Steven Bergwijn	Steven Bergwijn	Left Winger	25	Ajax Amsterdam	€27.00m
A	Paises Bajos	12	Noa Lang	Noa Lang	Left Winger	23	Club Brugge KV	€15.00m
A	Paises Bajos	10	Memphis Depay	Memphis Depay	Centre-Forward	28	FC Barcelona	€20.00m
A	Paises Bajos	19	Wout Weghorst	Wout Weghorst	Centre-Forward	30	Besiktas JK	€14.00m
A	Paises Bajos	18	Vincent Janssen	Vincent Janssen	Centre-Forward	28	Royal Antwerp FC	€6.00m
A	Paises Bajos	9	Luuk de Jong	Luuk de Jong	Centre-Forward	32	PSV Eindhoven	€4.00m
A	Senegal	1	Edouard Mendy	Edouard Mendy	Goalkeeper	30	Chelsea FC	€25.00m
A	Senegal	26	Alfred Gomis	Alfred Gomis	Goalkeeper	29	Stade Rennais FC	€3.00m
A	Senegal	23	Seny Dieng	Seny Dieng	Goalkeeper	27	Queens Park Rangers	€1.50m
A	Senegal	3	Kalidou Koulibaly	Kalidou Koulibaly	Centre-Back	31	Chelsea FC	€35.00m
A	Senegal	4	Abdou Diallo	Abdou Diallo	Centre-Back	26	RB Leipzig	€15.00m
A	Senegal	12	Pape Abou Cissé	Pape Abou Cissé	Centre-Back	27	Olympiacos Piraeus	€6.00m
