Date	Time	Home team	Away team	System of play	Coach	Attendance	GHT	GAT
Fri Jun 3, 2022	2:30 AM	Ecuador	Nigeria	4-3-3 Attacking	Gustavo Alfaro	25.000	1	0
Mon Jun 6, 2022	1:30 AM	Mexico	Ecuador	4-3-3 Attacking	Gustavo Alfaro	61.500	0	0
Sun Jun 12, 2022	2:00 AM	Ecuador	Cape Verde	4-2-3-1	Gustavo Alfaro	4.950	1	0
Fri Sep 23, 2022	8:00 PM	Saudi Arabia	Ecuador	4-3-3 Attacking	Gustavo Alfaro		0	0
Tue Sep 27, 2022	1:55 PM	Ecuador	Japan	4-3-3 Attacking	Gustavo Alfaro	4.321	0	0
Sat Nov 12, 2022	6:30 PM	Ecuador	Iraq	4-3-3 Attacking	Gustavo Alfaro		0	0
