Estadística,Fluminense,BarcelonaSC
Juegos,8.00,8.00
Victorias,5.00,5.00
Empates,2.00,1.00
Derrotas,1.00,2.00
Goles marcados,13.00,13.00
Goles recibidos,7.00,5.00
Media de goles,1.63,1.63
