Jornada	Fecha	Visita	GV	GL	Local	OBS1	OBS2	OBS3	FG
16	09/07	Mushuc Runa	1	2	Universidad Católica				FG
16	09/07	Orense SC	0	2	Aucas				FG
16	09/07	Técnico Univ.	0	2	Nueve de Octubre
16	10/07	LDU Quito	1	0	Gualaceo SC				FG
16	10/07	Cumbayá FC	0	2	Independiente del Valle				FG
16	10/07	Emelec	3	1	Macará				FG
16	11/07	Delfín SC	1	0	Barcelona SC				FG
16	12/07	Guayaquil City	0	1	Deportivo Cuenca				FG
