Jornada,Fecha,Local,GolLocal,GolVisita,Visita,Obs1,Obs2,Obs3,Obs4
J13,23/05,Aucas,2,0,DeportivoCuenca,,,,FG
J13,23/05,DelfínSC,1,1,LDUQuito,,,,FG
J13,24/05,BarcelonaSC,4,0,Olmedo,,,,FG
J13,25/05,Macará,1,1,TécnicoUniv
J14,29/05,Olmedo,1,1,MantaFC,,,,FG
J14,29/05,DelfínSC,2,2,NuevedeOctubre,,,,FG
J14,29/05,GuayaquilCity,0,0,MushucRuna,,,,FG
J14,30/05,DeportivoCuenca,1,0,TécnicoUniv,,,,FG
J14,30/05,Macará,1,0,Aucas,,,,FG
J14,30/05,LDUQuito,2,1,OrenseSC,,,,FG
J14,31/05,Emelec,0,0,IndependientedelValle,,,,FG
J14,31/05,UniversidadCatolica,2,0,BarcelonaSC
J15,17/07,TécnicoUniv,0,1,LDUQuito,,,,FG
J15,17/07,MushucRuna,6,1,DelfínSC,,,,FG
J15,17/07,OrenseSC,0,0,Olmedo,,,,FG
J15,17/07,Aucas,3,0,GuayaquilCity,,,,FG
J15,18/07,IndependientedelValle,0,0,DeportivoCuenca,,,,FG
J15,18/07,MantaFC,0,4,Emelec,,,,FG
J15,18/07,BarcelonaSC,3,0,Macará,,,,FG
J15,20/07,NuevedeOctubre,1,0,UniversidadCatolica
