Jornada,Fecha,Local,GolLocal,GolVisita,Visita,Obs1,Obs2,Obs3,Obs4
J16,24/07,Aucas,1,1,MushucRuna,,,,FG
J16,24/07,Olmedo,0,3,UniversidadCatolica,,,,FG
J16,24/07,Macará,0,2,GuayaquilCity,,,,FG
J16,25/07,DeportivoCuenca,0,1,Emelec,,,,FG
J16,25/07,IndependientedelValle,3,2,OrenseSC,,,,FG
J16,25/07,NuevedeOctubre,4,1,LDUQuito,,,,FG
J16,26/07,BarcelonaSC,2,0,MantaFC,,,,FG
J16,27/07,DelfínSC,1,1,TécnicoUniv
J17,31/07,MantaFC,0,1,UniversidadCatolica,,,,FG
J17,31/07,MushucRuna,1,2,NuevedeOctubre,,,,FG
J17,31/07,GuayaquilCity,2,1,DeportivoCuenca,,,,FG
J17,01/08,TécnicoUniv,1,2,BarcelonaSC,,,,FG
J17,01/08,OrenseSC,2,2,DelfínSC,,,,FG
J17,01/08,IndependientedelValle,4,0,Macará,,,,FG
J17,02/08,Emelec,2,2,Aucas,,,,FG
J17,03/08,LDUQuito,4,0,Olmedo
J18,07/08,DeportivoCuenca,1,0,MantaFC,,,,FG
J18,07/08,MushucRuna,0,2,IndependientedelValle,,,,FG
J18,07/08,UniversidadCatolica,2,2,LDUQuito,,,,FG
J18,08/08,BarcelonaSC,2,1,GuayaquilCity,,,,FG
J18,08/08,Aucas,0,0,OrenseSC,,,,FG
J18,08/08,NuevedeOctubre,0,1,TécnicoUniv,,,,FG
J18,09/08,DelfínSC,1,2,Emelec,,,,FG
J18,10/08,Macará,3,2,Olmedo
J19,14/08,TécnicoUniv,1,1,UniversidadCatolica,,,,FG
J19,14/08,IndependientedelValle,1,0,Aucas,,,,FG
J19,14/08,GuayaquilCity,2,1,DelfínSC,,,,FG
J19,15/08,Emelec,3,0,Macará,,,,FG
J19,15/08,MantaFC,0,0,MushucRuna,,,,FG
J19,15/08,OrenseSC,1,0,BarcelonaSC,,,,FG
J19,16/08,LDUQuito,3,3,DeportivoCuenca,,,,FG
J19,17/08,Olmedo,1,2,NuevedeOctubre
J20,21/08,Macará,1,1,MushucRuna,,,,FG
J20,21/08,Olmedo,0,0,TécnicoUniv,,,,FG
J20,21/08,UniversidadCatolica,1,1,GuayaquilCity,,,,FG
J20,22/08,NuevedeOctubre,2,2,Emelec,,,,FG
J20,21/08,OrenseSC,1,1,DeportivoCuenca,,,,FG
J20,21/08,Aucas,3,0,MantaFC,,,,FG
J20,23/08,DelfínSC,0,0,IndependientedelValle,,,,FG
J20,24/08,BarcelonaSC,0,2,LDUQuito,,,,FG
J21,28/08,Emelec,4,0,Olmedo,,,,FG
J21,28/08,Aucas,1,1,NuevedeOctubre,,,,FG
J21,28/08,MantaFC,0,0,OrenseSC,,,,FG
J21,29/08,MushucRuna,1,3,LDUQuito,,,,FG
J21,29/08,GuayaquilCity,1,0,TécnicoUniv,,,,FG
J21,29/08,Macará,1,2,UniversidadCatolica,,,,FG
J21,30/08,IndependientedelValle,1,0,BarcelonaSC,,,,FG
J21,31/08,DeportivoCuenca,2,3,DelfínSC,,,,FG
J22,13/09,UniversidadCatolica,1,3,IndependientedelValle,,,,FG
J22,17/09,BarcelonaSC,3,2,DeportivoCuenca,,,,FG
J22,18/09,OrenseSC,2,0,GuayaquilCity,,,,FG
J22,18/09,DelfínSC,1,2,Aucas,,,,FG
J22,18/09,NuevedeOctubre,1,1,Macará,,,,FG
J22,19/09,Olmedo,2,5,MushucRuna,,,,FG
J22,19/09,TécnicoUniv,0,0,MantaFC,,,,FG
J22,19/09,LDUQuito,3,2,Emelec,,,,FG
J23,25/09,IndependientedelValle,1,1,TécnicoUniv,,,,FG
J23,25/09,MushucRuna,0,0,OrenseSC,,,,FG
J23,25/09,GuayaquilCity,0,1,NuevedeOctubre,,,,FG
J23,26/09,MantaFC,2,2,LDUQuito,,,,FG
J23,26/09,DeportivoCuenca,5,0,Olmedo,,,,FG
J23,26/09,Macará,2,3,DelfínSC,,,,FG
J23,27/09,Emelec,2,2,UniversidadCatolica,,,,FG
J23,28/10,Aucas,1,0,BarcelonaSC,,,,FG
J24,02/10,UniversidadCatolica,3,2,DeportivoCuenca,,,,FG
J24,02/10,OrenseSC,2,1,Macará,,,,FG
J24,02/10,NuevedeOctubre,1,0,IndependientedelValle,,,,FG
J24,03/10,LDUQuito,3,1,GuayaquilCity,,,,FG
J24,03/10,Olmedo,1,4,Aucas,,,,FG
J24,03/10,BarcelonaSC,4,0,MushucRuna,,,,FG
J24,04/10,TécnicoUniv,1,0,Emelec,,,,FG
J24,05/10,DelfínSC,2,1,MantaFC,,,,FG
J25,15/10,Emelec,1,0,OrenseSC,,,,FG
J25,16/10,GuayaquilCity,4,2,Olmedo,,,,FG
J25,16/10,Aucas,1,2,UniversidadCatolica,,,,FG
J25,16/10,Macará,2,1,LDUQuito,,,,FG
J25,17/10,MushucRuna,0,1,TécnicoUniv,,,,FG
J25,17/10,DeportivoCuenca,3,1,NuevedeOctubre,,,,FG
J25,17/10,DelfínSC,4,1,BarcelonaSC,,,,FG
J25,18/10,IndependientedelValle,1,1,MantaFC,,,,FG
J26,23/10,TécnicoUniv,1,1,Aucas,,,,FG
J26,23/10,UniversidadCatolica,0,1,MushucRuna,,,,FG
J26,23/10,NuevedeOctubre,3,1,OrenseSC,,,,FG
J26,24/10,LDUQuito,0,2,IndependientedelValle,,,,FG
J26,24/10,Olmedo,1,3,DelfínSC,,,,FG
J26,24/10,MantaFC,1,1,GuayaquilCity,,,,FG
J26,25/10,Emelec,2,1,BarcelonaSC,,,,FG
