Jornada,Fecha,Local,GolLocal,GolVisita,Visita,Obs1,Obs2,Obs3,Obs4
J26,26/10,DeportivoCuenca,1,1,Macará,,,,FG
J27,30/10,DelfínSC,0,2,UniversidadCatolica,,,,FG
J27,30/10,OrenseSC,0,0,TécnicoUniv,,,,FG
J27,30/10,Macará,1,2,MantaFC,,,,FG
J27,31/10,GuayaquilCity,0,1,Emelec,,,,FG
J27,31/10,MushucRuna,1,0,DeportivoCuenca,,,,FG
J27,31/10,IndependientedelValle,5,0,Olmedo,,,,FG
J27,01/11,Aucas,1,0,LDUQuito,,,,FG
J27,02/11,BarcelonaSC,1,3,NuevedeOctubre,,,,FG
J28,06/11,Emelec,2,0,MushucRuna,,,,FG
J28,06/11,UniversidadCatolica,1,0,OrenseSC,,,,FG
J28,06/11,DeportivoCuenca,2,1,Aucas,,,,FG
J28,07/11,Olmedo,0,2,BarcelonaSC,,,,FG
J28,07/11,TécnicoUniv,2,0,Macará,,,,FG
J28,07/11,LDUQuito,1,1,DelfínSC,,,,FG
J28,08/11,GuayaquilCity,0,2,IndependientedelValle,,,,FG
J28,09/11,MantaFC,1,3,NuevedeOctubre,,,,FG
