14	21/05	Emelec	-	-	Universidad Católica				FG
14	22/05	Guayaquil City	-	-	LDU Quito				FG
14	22/05	Macará	-	-	Técnico Univ.				FG
14	23/05	Aucas	-	-	Barcelona SC				FG
14	23/05	Independiente del Valle	-	-	Mushuc Runa				FG
14	24/05	Deportivo Cuenca	-	-	Orense SC				FG
15	28/05	Gualaceo SC	-	-	Aucas				FG
15	28/05	Mushuc Runa	-	-	Deportivo Cuenca				FG
15	28/05	Orense SC	-	-	Guayaquil City				FG
15	29/05	Técnico Univ.	-	-	Emelec				FG
15	30/05	Universidad Católica	-	-	Delfín SC				FG
15	30/05	Barcelona SC	-	-	Cumbayá FC				FG
15	30/05	LDU Quito	-	-	Macará				FG
15	30/05	Nueve de Octubre	-	-	Independiente del Valle
